amount,merchantName,transactionType,paymentMethod,deviceType,location,currency,hourOfDay,isWeekend,fraud
10366,Zomato,Purchase,UPI,Desktop,Mumbai,INR,23,1,0
28322,Swiggy,Deposit,Net Banking,Desktop,Delhi,INR,22,0,0
48279,Myntra,Deposit,Debit Card,Tablet,Bangalore,INR,9,0,0
19788,Flipkart,Purchase,Wallet,Tablet,Mumbai,INR,15,0,0
23860,Flipkart,Withdrawal,UPI,Desktop,Bangalore,INR,9,1,0
9430,Zomato,Transfer,Wallet,Desktop,Hyderabad,INR,8,0,0
35407,Amazon India,Deposit,UPI,Tablet,Mumbai,INR,1,0,1
35139,Amazon India,Transfer,Debit Card,Mobile,Mumbai,INR,13,0,1
32868,Zomato,Purchase,Credit Card,Mobile,Mumbai,INR,23,0,0
44117,Reliance Digital,Withdrawal,Wallet,Tablet,Hyderabad,INR,3,1,1
28610,Reliance Digital,Withdrawal,Credit Card,Tablet,Chennai,INR,9,1,0
1053,Myntra,Purchase,Net Banking,Tablet,Chennai,INR,10,0,0
39954,Swiggy,Transfer,Debit Card,Desktop,Delhi,INR,23,0,1
28467,Amazon India,Withdrawal,Debit Card,Tablet,Hyderabad,INR,6,0,0
6339,Amazon India,Transfer,Debit Card,Tablet,Hyderabad,INR,2,1,1
256,Zomato,Purchase,UPI,Mobile,Hyderabad,INR,14,0,0
38583,Swiggy,Purchase,Debit Card,Desktop,Mumbai,INR,1,1,1
34184,Amazon India,Transfer,Wallet,Mobile,Chennai,INR,16,1,1
7014,Flipkart,Purchase,Debit Card,Desktop,Bangalore,INR,22,0,0
45934,Reliance Digital,Purchase,Credit Card,Tablet,Delhi,INR,8,0,1
16345,Zomato,Withdrawal,UPI,Desktop,Hyderabad,INR,21,0,0
10985,Swiggy,Transfer,Wallet,Tablet,Chennai,INR,14,1,0
35438,Myntra,Transfer,Debit Card,Tablet,Hyderabad,INR,5,0,0
16113,Amazon India,Transfer,Wallet,Desktop,Delhi,INR,22,1,1
36223,Amazon India,Purchase,Wallet,Tablet,Bangalore,INR,11,1,0
23665,Myntra,Deposit,Wallet,Desktop,Bangalore,INR,3,1,0
30161,Reliance Digital,Transfer,UPI,Tablet,Bangalore,INR,11,1,1
42430,Zomato,Withdrawal,Credit Card,Mobile,Bangalore,INR,18,0,1
43925,Reliance Digital,Transfer,Debit Card,Desktop,Mumbai,INR,16,0,1
9078,Flipkart,Withdrawal,Wallet,Mobile,Mumbai,INR,17,0,0
4234,Swiggy,Withdrawal,Wallet,Tablet,Mumbai,INR,18,0,0
31662,Myntra,Purchase,Credit Card,Tablet,Chennai,INR,20,0,0
32128,Flipkart,Transfer,Net Banking,Tablet,Mumbai,INR,4,1,1
32199,Reliance Digital,Purchase,Credit Card,Desktop,Delhi,INR,13,1,1
16215,Reliance Digital,Deposit,UPI,Mobile,Hyderabad,INR,2,1,0
17943,Swiggy,Withdrawal,Net Banking,Tablet,Mumbai,INR,5,0,0
11862,Flipkart,Withdrawal,Credit Card,Tablet,Chennai,INR,10,0,0
1056,Swiggy,Deposit,Credit Card,Mobile,Delhi,INR,0,0,0
3373,Amazon India,Transfer,Debit Card,Mobile,Bangalore,INR,14,0,0
27465,Reliance Digital,Deposit,Net Banking,Tablet,Delhi,INR,13,1,0
27625,Reliance Digital,Deposit,Credit Card,Tablet,Mumbai,INR,4,1,0
6965,Swiggy,Deposit,UPI,Tablet,Mumbai,INR,13,1,0
6546,Amazon India,Withdrawal,UPI,Desktop,Delhi,INR,19,1,0
17273,Zomato,Deposit,Debit Card,Mobile,Hyderabad,INR,11,1,0
15862,Swiggy,Transfer,Credit Card,Tablet,Delhi,INR,23,0,1
34467,Myntra,Transfer,Debit Card,Mobile,Hyderabad,INR,17,0,1
21956,Swiggy,Transfer,Credit Card,Tablet,Chennai,INR,9,0,0
48447,Flipkart,Transfer,Debit Card,Tablet,Hyderabad,INR,10,1,1
34447,Flipkart,Transfer,Wallet,Tablet,Delhi,INR,12,0,1
10432,Myntra,Transfer,UPI,Desktop,Chennai,INR,20,1,1
3813,Swiggy,Purchase,UPI,Mobile,Mumbai,INR,9,1,0
28038,Amazon India,Purchase,Debit Card,Tablet,Delhi,INR,10,0,0
49139,Myntra,Withdrawal,Wallet,Desktop,Mumbai,INR,13,1,0
18031,Swiggy,Transfer,Credit Card,Mobile,Delhi,INR,9,1,0
46064,Reliance Digital,Purchase,Credit Card,Mobile,Chennai,INR,21,0,0
9842,Swiggy,Deposit,Credit Card,Desktop,Hyderabad,INR,14,1,0
22782,Zomato,Withdrawal,UPI,Tablet,Chennai,INR,20,1,0
19886,Flipkart,Withdrawal,Wallet,Desktop,Delhi,INR,11,0,0
46310,Swiggy,Withdrawal,UPI,Tablet,Bangalore,INR,22,1,0
35192,Swiggy,Deposit,Debit Card,Mobile,Bangalore,INR,1,1,1
23599,Flipkart,Transfer,Debit Card,Mobile,Bangalore,INR,6,0,0
4846,Reliance Digital,Withdrawal,Net Banking,Mobile,Chennai,INR,19,1,0
30526,Swiggy,Withdrawal,Wallet,Desktop,Mumbai,INR,7,0,0
18688,Amazon India,Transfer,Credit Card,Mobile,Chennai,INR,18,1,1
41805,Reliance Digital,Deposit,Net Banking,Desktop,Hyderabad,INR,13,1,1
44204,Zomato,Purchase,Net Banking,Mobile,Bangalore,INR,21,1,1
5138,Reliance Digital,Withdrawal,Wallet,Desktop,Mumbai,INR,4,0,0
2402,Reliance Digital,Purchase,Net Banking,Mobile,Mumbai,INR,3,0,0
5131,Reliance Digital,Transfer,Credit Card,Desktop,Hyderabad,INR,12,0,0
20009,Zomato,Purchase,Net Banking,Tablet,Hyderabad,INR,22,1,0
15408,Swiggy,Deposit,Net Banking,Desktop,Hyderabad,INR,3,1,1
27653,Flipkart,Purchase,Credit Card,Desktop,Bangalore,INR,14,0,0
9488,Zomato,Withdrawal,Wallet,Mobile,Mumbai,INR,23,1,0
7771,Myntra,Withdrawal,UPI,Mobile,Delhi,INR,13,0,0
15475,Swiggy,Withdrawal,Net Banking,Tablet,Chennai,INR,23,0,0
14807,Flipkart,Deposit,Net Banking,Tablet,Hyderabad,INR,4,1,0
44185,Reliance Digital,Withdrawal,Wallet,Mobile,Chennai,INR,13,1,0
19301,Myntra,Transfer,UPI,Mobile,Hyderabad,INR,0,1,0
9316,Zomato,Deposit,Net Banking,Desktop,Chennai,INR,18,0,0
28988,Flipkart,Purchase,UPI,Desktop,Mumbai,INR,20,1,0
49670,Swiggy,Withdrawal,Credit Card,Mobile,Chennai,INR,6,0,1
21843,Swiggy,Transfer,Wallet,Mobile,Hyderabad,INR,22,0,0
40556,Zomato,Purchase,Credit Card,Mobile,Bangalore,INR,12,0,0
26761,Swiggy,Deposit,Debit Card,Desktop,Hyderabad,INR,18,1,0
23190,Zomato,Withdrawal,UPI,Tablet,Bangalore,INR,1,1,0
37807,Amazon India,Deposit,UPI,Desktop,Bangalore,INR,7,0,1
18742,Swiggy,Purchase,Wallet,Tablet,Chennai,INR,6,1,0
28732,Myntra,Deposit,Wallet,Tablet,Mumbai,INR,1,1,0
6037,Myntra,Purchase,UPI,Desktop,Bangalore,INR,2,1,0
10614,Zomato,Purchase,Wallet,Tablet,Chennai,INR,13,1,0
16652,Swiggy,Transfer,Wallet,Tablet,Hyderabad,INR,19,0,0
9483,Swiggy,Withdrawal,Net Banking,Desktop,Mumbai,INR,0,0,1
23250,Amazon India,Purchase,Debit Card,Desktop,Hyderabad,INR,10,1,0
9844,Swiggy,Purchase,Debit Card,Desktop,Hyderabad,INR,17,0,0
23881,Amazon India,Deposit,Debit Card,Desktop,Delhi,INR,18,1,0
40945,Reliance Digital,Transfer,Credit Card,Tablet,Hyderabad,INR,6,1,1
20190,Amazon India,Transfer,Wallet,Mobile,Delhi,INR,9,0,0
33628,Reliance Digital,Deposit,Wallet,Desktop,Mumbai,INR,20,1,1
20750,Flipkart,Withdrawal,Credit Card,Tablet,Mumbai,INR,11,1,0
38826,Swiggy,Purchase,Wallet,Tablet,Mumbai,INR,18,1,0
43379,Amazon India,Withdrawal,Debit Card,Desktop,Mumbai,INR,18,0,0
38472,Swiggy,Purchase,Net Banking,Desktop,Chennai,INR,3,0,1
34662,Reliance Digital,Withdrawal,Net Banking,Tablet,Delhi,INR,2,1,1
28205,Flipkart,Purchase,Net Banking,Mobile,Hyderabad,INR,15,1,0
15243,Amazon India,Withdrawal,Credit Card,Desktop,Delhi,INR,4,0,1
12446,Swiggy,Deposit,Net Banking,Desktop,Chennai,INR,15,1,0
17194,Flipkart,Deposit,Net Banking,Tablet,Chennai,INR,9,1,0
26747,Swiggy,Purchase,Wallet,Tablet,Hyderabad,INR,1,1,0
25990,Amazon India,Withdrawal,Wallet,Tablet,Bangalore,INR,13,1,0
43590,Zomato,Transfer,UPI,Desktop,Mumbai,INR,0,0,1
49990,Myntra,Deposit,Credit Card,Desktop,Chennai,INR,20,1,1
32274,Flipkart,Transfer,UPI,Tablet,Hyderabad,INR,7,1,1
31500,Swiggy,Transfer,Debit Card,Tablet,Chennai,INR,12,1,1
5689,Flipkart,Transfer,UPI,Mobile,Hyderabad,INR,0,1,0
48404,Myntra,Transfer,Debit Card,Tablet,Hyderabad,INR,3,1,1
7889,Zomato,Purchase,Wallet,Tablet,Delhi,INR,3,1,0
4586,Zomato,Transfer,Wallet,Tablet,Delhi,INR,8,1,0
48607,Myntra,Withdrawal,UPI,Tablet,Delhi,INR,19,1,0
46719,Amazon India,Purchase,Debit Card,Mobile,Bangalore,INR,18,0,1
